# MODE: PROD
# Prebuilt chat rust binaries shipped with the chat skill: the server, the
# CLI client, the MCP adapter that carries the same client as a library, and the
# spool watcher an agent arms as a Claude Code Monitor to be woken when its chat
# interrupts go unread. integration.tsv decides which front end an install receives.
# Built by the release/CI (cargo build --release --workspace); never committed.
target	condition	binary	why
x86_64-unknown-linux-musl	Linux:x86_64|amd64	chat-server-rs	Static 64-bit x86 Linux RFC-1459 IRC-over-TLS server
x86_64-unknown-linux-musl	Linux:x86_64|amd64	chat-client-rs	Static 64-bit x86 Linux TLS chat client
x86_64-unknown-linux-musl	Linux:x86_64|amd64	chat-mcp	Static 64-bit x86 Linux MCP adapter for the chat client
x86_64-unknown-linux-musl	Linux:x86_64|amd64	chat-spool-watch	Static 64-bit x86 Linux chat interrupt spool watcher
aarch64-unknown-linux-musl	Linux:aarch64|arm64	chat-server-rs	Static 64-bit ARM Linux RFC-1459 IRC-over-TLS server
aarch64-unknown-linux-musl	Linux:aarch64|arm64	chat-client-rs	Static 64-bit ARM Linux TLS chat client
aarch64-unknown-linux-musl	Linux:aarch64|arm64	chat-mcp	Static 64-bit ARM Linux MCP adapter for the chat client
aarch64-unknown-linux-musl	Linux:aarch64|arm64	chat-spool-watch	Static 64-bit ARM Linux chat interrupt spool watcher
x86_64-apple-darwin	Darwin:x86_64	chat-server-rs	Intel macOS IRC-over-TLS server
x86_64-apple-darwin	Darwin:x86_64	chat-client-rs	Intel macOS TLS chat client
x86_64-apple-darwin	Darwin:x86_64	chat-mcp	Intel macOS MCP adapter for the chat client
x86_64-apple-darwin	Darwin:x86_64	chat-spool-watch	Intel macOS chat interrupt spool watcher
aarch64-apple-darwin	Darwin:arm64	chat-server-rs	Apple Silicon macOS IRC-over-TLS server
aarch64-apple-darwin	Darwin:arm64	chat-client-rs	Apple Silicon macOS TLS chat client
aarch64-apple-darwin	Darwin:arm64	chat-mcp	Apple Silicon macOS MCP adapter for the chat client
aarch64-apple-darwin	Darwin:arm64	chat-spool-watch	Apple Silicon macOS chat interrupt spool watcher
x86_64-pc-windows-msvc	MINGW*|MSYS*|CYGWIN*|Windows*:x86_64|amd64	chat-server-rs.exe	64-bit Windows IRC-over-TLS server
x86_64-pc-windows-msvc	MINGW*|MSYS*|CYGWIN*|Windows*:x86_64|amd64	chat-client-rs.exe	64-bit Windows TLS chat client
x86_64-pc-windows-msvc	MINGW*|MSYS*|CYGWIN*|Windows*:x86_64|amd64	chat-mcp.exe	64-bit Windows MCP adapter for the chat client
x86_64-pc-windows-msvc	MINGW*|MSYS*|CYGWIN*|Windows*:x86_64|amd64	chat-spool-watch.exe	64-bit Windows chat interrupt spool watcher
